id,Ta,TaTa,TaTaTa,TaTaTi,TaTaTigitigi,TaTaTimgi,TaTaTimgiri,TaTaTiti,TaTaTitigi,TaTaTriole,TaTaiti,TaTano,TaTao,TaTi,TaTimgiTa,TaTimgiTimgi,TaTimgiTiti,TaTiti,TaTitiTa,TaTitiTi,TaTitiTiti,TaTitigiTigitigi,TaTrioleTa,Tai,Taiti,TaitiTa,TaitiTimgi,TaitiTiti,TaitigiTigitigi,Tanogi,Tao,TaoTa,TaoTigitigi,TaoTimgi,TaoTimgiri,TaoTiti,TaoTriole,Taoa,Taono,TigimTi,TigimTitiTiti,Tigimgim,Tigitigi,TigitigiTa,TigitigiTaTa,TigitigiTi,TigitigiTigitigi,TigitigiTigitigiTigitigi,TigitigiTiti,Timgi,TimgiTa,TimgiTaTa,TimgiTaTigitigi,TimgiTaTimgi,TimgiTaTiti,TimgiTaiti,TimgiTi,TimgiTimgiTimgi,TimgiTiti,TimgiTitiTiti,Timgiri,TimgiriTa,TimgiriTiti,TinotigiTigitigi,Titi,TitiTa,TitiTaTa,TitiTaTi,TitiTaTimgi,TitiTaTiti,TitiTao,TitiTi,TitiTiti,TitiTitiTa,TitiTitiTi,TitiTitiTimgi,TitiTitiTiti,TitiTitino,TitigiTa,TitigiTi,TitigiTigitigi,TitigiTiti,TitigiTitigi,Triole,no,nogiTimgi,nogiTiti
100,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,0.125,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,
101,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.4375,,,0.3125,,,,,,,,,,
102,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.875,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,
103,0.0625,,0.4375,,,,,,,,,,,,0.4375,,,,0.0625,,0.5,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,0.0625,0.3125,,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,
105,0.0625,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,0.0625,0.25,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0.125,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,
107,0.0625,,0.5,,,,,,,,,,,,,,,,0.5,,0.125,,,,,,,,,,0.125,0.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,,,,,,,,,,
108,0.125,,1.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,
111,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.1875,0.0625,,,,,,,,,
112,0.0625,,0.5625,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,0.0625,0.1875,,,,,,0.125,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
113,0.125,,0.4375,,,,0.5,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.0625,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.375,,,,,0.125,0.625,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.125,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,0.3125,,,,0.375,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,
116,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.375,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
117,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.1875,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
118,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,1.1875,,,,,,,,,,
119,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,,,,,,
120,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,
121,,,0.75,,,,,,,,,,,,,,,,0.25,,0.125,,,,,,,,,,0.0625,0.125,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,
122,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.0625,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,0.1875,,0.1875,,,,,,,,,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,
124,,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.125,,,0.5,,,,,,,0.1875,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,0.375,,,,,0.0625,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,
128,0.0625,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.375,
129,0.0625,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.125,,,,0.25,,,0.875,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,0.0625,0.1875,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,,,,,,,,,,,,,
133,0.0625,0.4375,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,
134,0.125,,,,,,,,,,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9375,,,,,,,,,,,,,,
136,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8125,,,,,,,,,,,,,,
137,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.0625,0.125,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,,,,,,,,,,,,
139,0.1875,0.0625,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6875,,,,,,,,,,,,,,
140,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,
141,,0.375,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,
142,,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,
143,0.125,,1.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.625,,0.625,,,,,,,,,,,,,,,,,,0.0625,,,,,0.625,,,,,,0.5,,,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,0.0625,,
145,,,0.3125,,,,,,,0.3125,,,,,,,,,,,,,0.0625,,,,,,,,0.0625,,,,,,0.3125,0.125,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,0.0625,,,
146,,,0.125,,,,,0.375,,,,,,,,,,,,,,,,,,,,0.625,,,0.0625,,,,,0.1875,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.125,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,0.375,,,,,,,,,,
148,,,0.125,,,,,,,,,,,,,,,,,,0.3125,,,,,0.375,,,,,0.125,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,
149,,,0.0625,,,,,,,,,,,,,,,,0.25,,0.1875,,,,,,,,,,0.0625,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,
150,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,,,,
151,0.0625,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.6875,,,,,,,,,,
152,,,0.25,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.5,,,,,,,,,,
153,,,,,,,,,,,0.0625,,0.0625,,,,,,0.375,,0.0625,,,,,,,,,,0.125,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
154,,,0.25,0.0625,,,,0.0625,,,,,,,,,,,0.125,0.1875,,,,,,,,,,,0.125,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0.125,,0.3125,,,,,,,,,,,,,,,,,0.125,0.0625,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.125,,0.25,,,,,,,,,,,,,,,,0.125,0.0625,0.125,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.125,,,,,,,,,,
157,,,0.625,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,0.25,,,,,0.1875,,,,,,,,,,,,,,,,0.0625,,,,0.3125,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,
159,0.125,,0.5,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,0.125,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.0625,,0.3125,,,,,0.0625,,,,,,,,,,,,,0.0625,,,,,,,0.125,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,0.1875,,,,,,,0.3125,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.125,,,,,,,,,,
162,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.25,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4375,,,,,,,,,,
164,,,0.375,,,,,0.0625,,,,,,,,,,,0.0625,,0.0625,,,,,,,0.25,,,0.125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,0.1875,,,,,,0.0625,,,,,,,,,,
166,0.0625,,,,,,,0.0625,,,,,0.25,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,0.1875,,,0.125,,,,,,,,,,
167,,,,,,,,,,,,,0.1875,,,,,,,0.4375,0.25,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,0.375,,0.0625,,,,,,,0.125,,,0.0625,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.0625,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,0.625,,0.125,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
170,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,0.375,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,0.4375,,,0.3125,0.125,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,0.125,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5625,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,0.5,,,,,,,,,,
174,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,
175,0.0625,,0.125,,,,,,,,,0.1875,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,0.125,0.0625,,,,,,,,,
176,0.125,,,,,,,,,,,,,,,,,,0.1875,0.3125,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0.125,,,,,,,,,,,,,,,,,,0.25,,,,0.125,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,0.125,,,,,,,,,,,,,,,,,,,,,0.0625,,1.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,
179,0.125,,0.3125,0.0625,,,,0.125,,,0.0625,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
180,0.0625,,0.125,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,0.1875,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,0.25,,,,,0.6875,,0.0625,,,0.125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.125,,,0.125,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,0.5625,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5625,,,,,,,,,,
185,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,,0.375,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,0.125,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
187,,,0.1875,,,,,,,,,,,,,,,,0.1875,,0.3125,,,,,0.125,,,,,,0.0625,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,0.125,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,0.125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.625,,,,,,,,,,
190,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,
191,,,,,,,,,,,,,0.25,,,,,,0.25,,,,,,,,,,,,0.125,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,0.625,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.25,,0.25,,0.0625,,,,,0.0625,,,,,,,,,,
193,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.8125,,,,,,,,,,
194,,,,,,,,,,,,,0.1875,,,,,,0.3125,,0.1875,,,,,,,,,,0.125,0.125,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,0.125,,,,,,,,,,,,,,,,0.125,,0.125,,,,,,,0.0625,,,0.0625,0.0625,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,
196,0.0625,,0.25,,,,,,,,,,,,,,,,1.0625,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,
197,,,,,,,,,,,,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,0.375,,,,,,,,,,
198,,,0.125,,,,,,,,,,,,,,,,,,,,,0.0625,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,0.6875,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,0.125,,,0.6875,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.75,,,,,,,,,,
202,,,0.3125,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.375,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.0625,,,,,,,0.8125,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1875,,,,0.25,,,0.4375,,,,,,,,,,
206,,,,,,,,0.1875,,,,,,,,,,,0.1875,,0.0625,,,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,,,,,,,,0.4375,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,,,,,,,,,,
208,,,,,,,,,,,,,0.125,,,,,,0.1875,,0.0625,,,,,,,,,,0.0625,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,,,,,0.125,,,,,,,0.25,,,,,,,,,,
209,,,,,,,,,,,,,0.3125,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4375,,,0.125,,,,,,,,,,
210,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,0.125,0.125,,,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,,,,,,,0.0625,,,0.1875,,,,,,,,,,
